JENIS FASYANKES,NAMA,LONGITUDE,LATITUDE,PROVINSI,KABUPATEN,STATUS OPERASIONAL,KECAMATAN,DESA,GEOCODE_STATUS
Puskesmas,Simpang Kiri,"97,984","41,112",Aceh,Aceh Tamiang,Beroperasi,额济纳旗 ᠡᠵᠡᠨ᠎ᠡ ᠬᠣᠰᠢᠭᠤ,,ok
Puskesmas,Langsa Timur,"9,801,754","445,561",Aceh,Kota Langsa,Beroperasi,,,invalid_coords
Puskesmas,Ranto Peureulak,"9,782,304","480,555",Aceh,Aceh Timur,Beroperasi,,,invalid_coords
Puskesmas,Danau Paris,"9,813,297","223,924",Aceh,Aceh Singkil,Beroperasi,,,invalid_coords
Puskesmas,Blang Kuta,"9,627,843","518,216",Aceh,Pidie Jaya,Beroperasi,,,invalid_coords
Puskesmas,Pulau Banyak Barat,"9,729,405","21,347",Aceh,Aceh Singkil,Beroperasi,,,no_data
Puskesmas,Uning Sigur-Gur,"9,789,634","3,333",Aceh,Aceh Tenggara,Beroperasi,,Uningsigugur,ok
Puskesmas,Simpang Mamplam,"964,192","517,615",Aceh,Bireuen,Beroperasi,,,invalid_coords
Puskesmas,Grong-Grong,"9,771,062","499,212",Aceh,Pidie,Beroperasi,,,invalid_coords
Puskesmas,Suka Makmur,"9,770,646","339,152",Aceh,Aceh Tenggara,Beroperasi,,,invalid_coords
Puskesmas,Leupung,"9,524,382","534,317",Aceh,Aceh Besar,Beroperasi,,,invalid_coords
Puskesmas,Manyak Payed,"9,807,554","439,921",Aceh,Aceh Tamiang,Beroperasi,,,invalid_coords
Puskesmas,Kota Juang,"9,672,611","519,641",Aceh,Bireuen,Beroperasi,,,invalid_coords
Puskesmas,Samadua,"971,478","330,856",Aceh,Aceh Selatan,Beroperasi,,,invalid_coords
Puskesmas,Peulumat,"9,703,249","35,038",Aceh,Aceh Selatan,Beroperasi,,,no_data
Puskesmas,Singah Mulo,"9,673,417","490,973",Aceh,Bener Meriah,Beroperasi,,,invalid_coords
Puskesmas,Kampung Paya,"9,736,872","311,173",Aceh,Aceh Selatan,Beroperasi,,,invalid_coords
Puskesmas,Darussalam,"953,975,525","55,888,732",Aceh,Aceh Selatan,Beroperasi,,,invalid_coords
Puskesmas,Sedar,"971,295,617","33,216,884",Aceh,Aceh Selatan,Beroperasi,,,invalid_coords
Puskesmas,Simpang Tiga,"95,990,453","53,515,085",Aceh,Pidie,Beroperasi,,,invalid_coords
